"","age","minutes","lvalue","total_market_value","goals","assists","seleccion","pos_Defensa","pos_Delantero","pos_Medio Centro","pos_Portero","equipo_0","equipo_1","equipo_2","value"
"140",29,2899,18666666.6666667,400400000,1,1,1,1,0,0,0,1,0,0,24500000
"141",31,2850,24500000,428100000,1,2,1,1,0,0,0,1,0,0,2e+07
"142",33,2502,2e+06,145400000,1,1,1,0,0,1,0,1,0,0,2e+06
"143",35,540,1300000,291150000,0,0,1,0,0,0,1,0,0,1,7e+05
"144",36,270,7e+05,303880000,0,0,1,0,0,0,1,0,0,1,4e+05
"145",39,180,375000,2.89e+08,0,0,1,0,0,0,1,1,0,0,250000
"146",38,270,312500,94950000,0,0,1,0,0,0,1,1,0,0,1e+05
"147",37,802,650000,257280000,0,1,1,1,0,0,0,0,0,1,337500
"148",31,1296,9e+05,12350000,0,2,1,1,0,0,0,1,0,0,450000
"149",35,20,1e+06,797600000,0,0,1,0,0,0,1,0,1,0,1e+06
"150",36,270,1e+06,670450000,0,0,1,0,0,0,1,0,1,0,750000
"151",38,0,750000,770050000,0,0,1,0,0,0,1,0,1,0,475000
"152",33,556,1.2e+07,529100000,0,1,1,1,0,0,0,1,0,0,7666666.66666667
"153",34,490,7666666.66666667,420300000,1,0,1,1,0,0,0,1,0,0,2750000
"154",35,329,2250000,529100000,1,0,1,1,0,0,0,1,0,0,1666666.66666667
"155",36,600,1666666.66666667,138600000,0,0,1,1,0,0,0,1,0,0,1e+06
"156",38,706,1e+06,149850000,0,0,1,1,0,0,0,1,0,0,575000
"157",35,3420,4e+06,239100000,0,0,1,0,0,0,1,1,0,0,3166666.66666667
"158",36,3420,3166666.66666667,199600000,0,0,1,0,0,0,1,1,0,0,2250000
"159",33,1492,2500000,3.1e+08,0,3,0,1,0,0,0,1,0,0,2500000
"160",34,1130,2500000,272180000,0,1,0,1,0,0,0,1,0,0,1500000
"161",35,0,250000,1e+09,0,0,0,0,0,0,1,0,1,0,250000
"162",37,90,250000,141150000,0,0,0,0,0,0,1,1,0,0,250000
"163",32,3509,6e+06,797600000,2,3,1,0,0,1,0,0,1,0,6333333.33333333
"164",33,3005,6333333.33333333,670450000,5,6,1,0,0,1,0,0,1,0,4500000
"165",33,3005,6333333.33333333,606050000,5,6,1,0,0,1,0,1,0,0,4500000
"166",35,1978,4500000,663900000,1,4,1,0,0,1,0,1,0,0,2733333.33333333
"167",34,1318,875000,17680000,0,1,1,0,0,1,0,1,0,0,750000
"168",35,3330,4e+06,347150000,7,2,1,1,0,0,0,0,0,1,2166666.66666667
"169",36,3026,2166666.66666667,224450000,1,1,1,1,0,0,0,0,0,1,1e+06
"170",38,3405,1e+06,327600000,2,1,1,1,0,0,0,0,0,1,866666.666666667
"171",31,1563,5500000,197250000,1,1,1,0,1,0,0,1,0,0,5e+06
"172",32,734,5e+06,163880000,0,1,1,0,1,0,0,1,0,0,4e+06
"173",31,2154,1750000,91430000,0,3,1,0,0,1,0,1,0,0,2750000
"174",33,0,3e+06,1.05e+09,0,0,1,0,0,0,1,0,1,0,1500000
"175",33,69,266666.666666667,139250000,0,0,1,1,0,0,0,1,0,0,150000
"176",38,1530,1e+06,3.1e+08,0,0,1,0,0,0,1,1,0,0,1e+06
"177",39,0,1e+06,272180000,0,0,1,0,0,0,1,1,0,0,750000
"178",32,2207,8166666.66666667,646800000,1,0,1,1,0,0,0,1,0,0,8e+06
"179",33,3448,8e+06,208680000,1,0,1,1,0,0,0,0,0,1,4500000
"180",35,4259,4500000,292600000,2,0,1,1,0,0,0,0,0,1,2850000
"181",33,164,2e+06,219580000,0,1,1,0,0,1,0,1,0,0,1e+06
"182",33,2062,1500000,197250000,0,0,1,1,0,0,0,1,0,0,1500000
"183",34,1968,1500000,163880000,0,1,1,1,0,0,0,1,0,0,1250000
"184",35,674,1250000,132300000,0,0,1,1,0,0,0,1,0,0,8e+05
"185",33,3117,1.5e+07,248950000,7,11,1,0,0,1,0,0,0,1,3333333.33333333
"186",34,2905,3333333.33333333,208680000,16,11,1,0,0,1,0,0,0,1,4e+06
"187",32,767,3500000,1.2e+09,0,0,1,1,0,0,0,0,1,0,4333333.33333333
"188",33,435,250000,303600000,0,0,1,0,0,0,1,1,0,0,250000
"189",35,0,250000,334900000,0,0,1,0,0,0,1,1,0,0,250000
"190",35,2248,6e+06,1.01e+09,3,8,1,1,0,0,0,1,0,0,4333333.33333333
"191",32,3583,1.2e+07,308300000,2,8,1,1,0,0,0,0,0,1,5e+06
"192",33,4149,5e+06,294750000,0,10,1,1,0,0,0,0,0,1,4e+06
"193",35,3551,4e+06,418250000,0,6,1,1,0,0,0,0,0,1,3100000
"194",33,875,1500000,216750000,0,2,1,0,0,1,0,1,0,0,1e+06
"195",34,89,1e+06,135280000,0,0,1,0,0,1,0,1,0,0,750000
"196",31,2801,5e+06,254250000,11,5,1,0,1,0,0,1,0,0,6e+06
"197",32,2380,6e+06,400400000,6,2,1,0,1,0,0,1,0,0,5e+06
"198",34,3347,2e+06,183200000,1,1,1,1,0,0,0,1,0,0,1666666.66666667
"199",35,2250,1666666.66666667,173450000,1,1,1,1,0,0,0,1,0,0,1250000
"200",37,955,1250000,236100000,2,2,1,1,0,0,0,1,0,0,9e+05
"201",26,3262,27500000,1.03e+09,4,1,1,0,0,1,0,0,1,0,6e+07
"202",27,4081,6e+07,913750000,5,5,1,0,0,1,0,0,1,0,6.5e+07
"203",29,7838,6.5e+07,787300000,13,14,1,0,0,1,0,0,1,0,69666666.6666667
"204",30,2069,1500000,94950000,9,7,1,0,1,0,0,1,0,0,1500000
"205",31,2879,1500000,71780000,19,0,1,0,1,0,0,1,0,0,2e+06
"206",32,810,4500000,646800000,0,0,1,0,0,0,1,1,0,0,3e+06
"207",33,0,3e+06,548280000,0,0,1,0,0,0,1,1,0,0,1250000
"208",35,90,1250000,323200000,0,0,1,0,0,0,1,1,0,0,6e+05
"209",34,360,750000,429400000,0,1,1,0,0,0,1,1,0,0,450000
"210",35,90,450000,398950000,0,0,1,0,0,0,1,1,0,0,3e+05
"211",32,670,1833333.33333333,313400000,0,0,1,1,0,0,0,1,0,0,875000
"212",33,37,875000,208980000,0,0,1,1,0,0,0,1,0,0,625000
"213",31,1688,6166666.66666667,578480000,0,0,1,1,0,0,0,0,0,1,3e+06
"214",38,3240,433333.333333333,52750000,0,0,0,0,0,0,1,1,0,0,391666.666666667
"215",33,2335,13500000,1e+09,0,3,1,1,0,0,0,1,0,0,5500000
"216",31,3420,9e+06,434100000,0,0,1,0,0,0,1,1,0,0,1.1e+07
"217",32,3960,1.1e+07,411100000,0,0,1,0,0,0,1,1,0,0,1.2e+07
"218",34,4320,1.2e+07,510700000,0,1,1,0,0,0,1,1,0,0,8750000
"219",31,1389,3875000,1.2e+09,5,1,1,0,0,1,0,0,1,0,7166666.66666667
"220",31,1389,3875000,242050000,5,1,1,0,0,1,0,1,0,0,7166666.66666667
"221",33,2453,766666.666666667,97400000,3,1,0,1,0,0,0,1,0,0,5e+05
