competition,year,link,name,abbrev,num_players,avg_age,num_foreigners,total_market_value
Segunda Division,2018,https://www.transfermarkt.es/elche-cf/kader/verein/1531/saison_id/2018,Elche CF,40,,7.0,,16149999.999999998
Segunda Division,2018,https://www.transfermarkt.es/cd-numancia/kader/verein/2296/saison_id/2018,CD Numancia,37,,5.0,,16050000.0
Segunda Division,2018,https://www.transfermarkt.es/ad-alcorcon/kader/verein/11596/saison_id/2018,AD Alcorcón,38,,5.0,,13150000.0
Segunda Division,2018,https://www.transfermarkt.es/cf-reus-deportiu-2020-/kader/verein/13225/saison_id/2018,CF Reus Deportiu (-2020),27,,5.0,,9000000.0
Segunda Division,2019,https://www.transfermarkt.es/girona-fc/kader/verein/12321/saison_id/2019,Girona FC,37,,10.0,,41430000.0
Segunda Division,2019,https://www.transfermarkt.es/rayo-vallecano/kader/verein/367/saison_id/2019,Rayo Vallecano,42,,12.0,,37980000.0
Segunda Division,2019,https://www.transfermarkt.es/rc-deportivo-de-la-coruna/kader/verein/897/saison_id/2019,RC Deportivo de La Coruña,42,,15.0,,35000000.0
Segunda Division,2019,https://www.transfermarkt.es/ud-las-palmas/kader/verein/472/saison_id/2019,UD Las Palmas,43,,10.0,,33800000.0
Segunda Division,2019,https://www.transfermarkt.es/ud-almeria/kader/verein/3302/saison_id/2019,UD Almería,44,,17.0,,33550000.0
Segunda Division,2019,https://www.transfermarkt.es/sd-huesca/kader/verein/5358/saison_id/2019,SD Huesca,32,,7.0,,30680000.0
Segunda Division,2019,https://www.transfermarkt.es/real-zaragoza/kader/verein/142/saison_id/2019,Real Zaragoza,36,,12.0,,25380000.0
Segunda Division,2019,https://www.transfermarkt.es/cadiz-cf/kader/verein/2687/saison_id/2019,Cádiz CF,41,,12.0,,21450000.0
Segunda Division,2019,https://www.transfermarkt.es/malaga-cf/kader/verein/1084/saison_id/2019,Málaga CF,37,,12.0,,20050000.0
Segunda Division,2019,https://www.transfermarkt.es/sporting-de-gijon/kader/verein/2448/saison_id/2019,Sporting de Gijón,33,,7.0,,19430000.0
Segunda Division,2019,https://www.transfermarkt.es/real-oviedo/kader/verein/2497/saison_id/2019,Real Oviedo,35,,7.0,,16250000.0
Segunda Division,2019,https://www.transfermarkt.es/elche-cf/kader/verein/1531/saison_id/2019,Elche CF,35,,5.0,,15700000.0
Segunda Division,2019,https://www.transfermarkt.es/albacete-balompie/kader/verein/1532/saison_id/2019,Albacete Balompié,37,,12.0,,15030000.0
Segunda Division,2019,https://www.transfermarkt.es/cd-tenerife/kader/verein/648/saison_id/2019,CD Tenerife,31,,7.0,,14680000.0
Segunda Division,2019,https://www.transfermarkt.es/cd-mirandes/kader/verein/13222/saison_id/2019,CD Mirandés,31,,13.0,,13630000.0
Segunda Division,2019,https://www.transfermarkt.es/cd-lugo/kader/verein/11000/saison_id/2019,CD Lugo,37,,11.0,,12450000.0
Segunda Division,2019,https://www.transfermarkt.es/racing-de-santander/kader/verein/630/saison_id/2019,Racing de Santander,37,,7.0,,11630000.0
Segunda Division,2019,https://www.transfermarkt.es/cd-numancia/kader/verein/2296/saison_id/2019,CD Numancia,37,,5.0,,11080000.0
Segunda Division,2019,https://www.transfermarkt.es/ad-alcorcon/kader/verein/11596/saison_id/2019,AD Alcorcón,32,,8.0,,10630000.0
Segunda Division,2019,https://www.transfermarkt.es/sd-ponferradina/kader/verein/4032/saison_id/2019,SD Ponferradina,33,,8.0,,10600000.0
Segunda Division,2019,https://www.transfermarkt.es/extremadura-ud/kader/verein/29095/saison_id/2019,Extremadura UD,36,,9.0,,10500000.0
Segunda Division,2019,https://www.transfermarkt.es/cf-fuenlabrada/kader/verein/16486/saison_id/2019,CF Fuenlabrada,35,,7.0,,10350000.0
Segunda Division,2020,https://www.transfermarkt.es/rcd-espanyol/kader/verein/714/saison_id/2020,RCD Espanyol,37,,7.0,,80000000.0
Segunda Division,2020,https://www.transfermarkt.es/ud-almeria/kader/verein/3302/saison_id/2020,UD Almería,35,,18.0,,70600000.0
Segunda Division,2020,https://www.transfermarkt.es/rcd-mallorca/kader/verein/237/saison_id/2020,RCD Mallorca,39,,13.0,,50950000.0
Segunda Division,2020,https://www.transfermarkt.es/girona-fc/kader/verein/12321/saison_id/2020,Girona FC,40,,13.0,,36330000.0
Segunda Division,2020,https://www.transfermarkt.es/cd-leganes/kader/verein/1244/saison_id/2020,CD Leganés,39,,10.0,,34480000.0
Segunda Division,2020,https://www.transfermarkt.es/rayo-vallecano/kader/verein/367/saison_id/2020,Rayo Vallecano,36,,11.0,,29850000.0
Segunda Division,2020,https://www.transfermarkt.es/sporting-de-gijon/kader/verein/2448/saison_id/2020,Sporting de Gijón,37,,6.0,,23900000.0
Segunda Division,2020,https://www.transfermarkt.es/real-zaragoza/kader/verein/142/saison_id/2020,Real Zaragoza,38,,12.0,,23150000.0
Segunda Division,2020,https://www.transfermarkt.es/ud-las-palmas/kader/verein/472/saison_id/2020,UD Las Palmas,42,,8.0,,20350000.0
